Ref	Designation Text	J	H	K	SpType	SpTpye String	IRTF obs	IRTF Tel	IRTF File	Obs	Telescope	Instrument	Filename	Young?	Dusty?	Blue?	Multiple?	Pec?
20552	14 09 03.10 -33 57 56.5	14.248	13.42	12.865	12	L2	Adam	IRTF	U20552_1409-3357.fits	Davy	Keck I	LRIS	U20552_2mass1409m3357_ascii_davy.fits	No	No	No	No	No
11213	14 30 43.5 +29 15 40	14.273	13.44	12.771	12	L2	Adam	IRTF	spex_prism_1430+2915_080713.fits	Jan-02	KP 4m		U11213_1430+2915.fits	No	No	No	Yes	No
20694	16 57 34.54 +10 54 23.3	14.15	13.34	12.801	12	L2	#Adam	IRTF	U20694_1657+1054.fits	Apr-03	CT 4m		U20694.fits	No	No	No	No	No
20866	20 28 20.35 +00 52 26.5	14.298	13.38	12.793	12	L2	#Adam	IRTF	U20866_2028+0052_BUR04B.fits	SDSS			U20866_2028+0052_Hawley02.fits	No	No	No	No	No
12037	20 41 42.8 -35 06 44	14.887	13.99	13.401	12	L2:	Adam	IRTF	spex_prism_2041-3506_080908.fits	Sep-02	KP 4m		U12037_2041-3506.fits	No	No	No	No	No
20907	21 37 10.44 +14 50 47.5	14.133	13.30	12.815	12	L2	Adam	IRTF	U20907_2137+1450.fits	July-03	KP 4m		U20907.fits	No	No	No	No	No
10390	05 23 38.2 -14 03 02	13.084	12.22	11.638	12.5	L2.5	#Nov-04	IRTF	U10390.fits	Jan-02	CT 4m		U10390.fits	No	No	No	No	No
12059	21 04 14.9 -10 37 36	13.841	12.98	12.369	12.5	L2.5	#Sep-03	IRTF	U12059.fits	July-01	KP 4m		U12059_2104-1037.fits	No	No	No	No	No
50246	00 34 56.84 -07 06 01.3	15.531	14.57	13.942	13	L3	Adam	IRTF	U50246_0034-0706.fits	known			include	No	No	No	No	No
10107	02 18 29.1 -31 33 22	14.728	13.81	13.154	13	L3	Adam	IRTF	U10107_0218-3133.fits	Jan-02	CT 4m		U10107.fits	No	No	No	No	No
10151	02 51 14.8 -03 52 45	13.059	12.25	11.662	13	L3	#Nov-04	IRTF	U10151.fits	&Feb-04	KP 4m		u10151.fits	No	No	Yes	No	No
10617	07 00 36.6 +31 57 26	12.923	11.95	11.317	13	L3:	#Nov-04	IRTF	U10617.fits	Feb-04	KP 4m		u10617.fits	No	No	No	Yes	No
20267	07 17 16.26 +57 05 43.0	14.636	13.59	12.945	13	L3	Adam	IRTF	spex_prism_0717+5705_080108.fits	Feb-04	KP 4m		u20267.fits	No	No	No	No	No
20299	08 23 48.18 +24 28 57.7	14.986	14.06	13.377	13	L3	Adam	IRTF	spex_prism_0823+2428_080110.fits	Feb-04	KP 4m		u20299.fits	No	No	No	No	No
10783	08 56 47.9 +22 35 18	15.679	14.58	13.951	13	L3:	#Adam	IRTF	spex_prism_0856+2235_U10783.fits	Jan-02	KP 4m		U10783_0856+2235.fits	No	No	No	Yes	No
40039	10 04 20.7 +50 23 00	14.831	13.65	12.778	13	L3β	Adam	IRTF	spex_prism_G196-3B_U40039.fits	#Davy	Keck I	LRIS	U40039_g196-3b_all_ascii_davy.fits	Yes	No	No	No	No
10949	10 58 47.8 -15 48 17	14.155	13.23	12.532	13	L3	#Mar-05	IRTF	U10949.fits	known	Keck I	LRIS	U10949_lris_091297.fits	No	No	No	No	No
11010	11 46 34.4 +22 30 52	14.165	13.18	12.59	13	L3	Adam	IRTF	spex_prism_1146+2230_080112.fits	known	Keck II	LRIS	U11010_1146+2230_lris.fits	No	No	No	Yes	No
20435	12 07 03.74 -31 51 29.8	15.85	14.72	13.997	13	L3:	#Mar-05	IRTF	U20435.fits	GS-05B	GS	GMOS	U20435.fits	No	No	No	No	No
51201	14 35 35.72 -00 43 47.1	16.488	15.66	15.025	13	L3:	Adam	IRTF	U51201_1435-0043.fits	Hawley	APO		U51201_1435-0043_Hawley02.fits	No	No	No	No	No
11291	15 06 54.4 +13 21 06	13.365	12.38	11.741	13	L3	#Mar-05	IRTF	u11291_1506+1321_050323.fits	known	Keck I	LRIS	U11291_1506+1321_lris.fits	No	No	No	No	No
11658	16 45 22.0 +30 04 07	15.19	14.21	13.587	13	L3	Adam	IRTF	spex_prism_1645+3004_080713.fits	GN-04B	GN	GMOS	U11658.fits	No	No	No	No	No
11694	17 21 03.9 +33 44 15	13.625	12.95	12.489	13	L3blue	#Aug-03	IRTF	U11694.fits	July-01	KP 4m		U11694_1721+3344.fits	No	No	Yes	No	No
20870	20 36 03.16 +10 51 29.5	13.95	13.02	12.447	13	L3	Adam	IRTF	spex_prism_2036+1051_080729.fits	July-03	KP 4m		U20870.fits	No	No	No	No	No
51591	21 40 46.54 +01 12 59.4	15.891	15.31	14.417	13	L3	Adam	IRTF	U51591_2140+0112.fits	Hawley	APO		U51591_2140+0112_Hawlery02.dat	No	No	No	No	No
40004	22 08 13.63 +29 21 21.5	15.797	14.79	14.148	13	L3γ	#Nov-07	IRTF	spex_prism_2208+2921_U40004.fits	#Davy	Suburu	FOCAS	U40004_2208+2921_dagny.fits	Yes	No	No	No	No
13206	22 42 53.1 +25 42 57	14.812	13.74	13.048	13	L3	Adam	IRTF	U13206_spex-prism_2242+2542_20080712_BUR10A.fits	GN-04B	GN	GMOS	U13206.fits	No	No	No	No	No
20013	00 16 59.53 -40 56 54.1	15.316	14.21	13.432	13.5	L3.5	Adam	IRTF	spex_prism_0016-4056_080907.fits	GS-05B	GS	GMOS	U20013.fits	No	No	No	No	No
20029	00 36 16.17 +18 21 10.4	12.466	11.59	11.058	13.5	L3.5	#Aug-03	IRTF	2M0036.fits	&Sep-02	KP 4m		2M0036.fits	No	No	No	No	No
20046	00 53 18.99 -36 31 10.2	14.445	13.48	12.937	13.5	L3.5	Adam	IRTF	spex_prism_0053-3631_080907.fits	Davy	Keck I	LRIS	U20046_2mass0053m3631_davy.fits	No	No	No	No	No
13119	03 25 01.3 +22 53 03	15.426	14.33	13.774	13.5	L3.5	Dec-11	IRTF	U13119_0325+2253.fits	GN-04B	GN	GMOS	U13119.fits	No	No	No	No	No
20397	11 00 09.65 +49 57 47.0	15.282	14.19	13.474	13.5	L3.5	#Nov-04	IRTF	U20397.fits	GN-05B	GN	GMOS	U20397.fits	No	No	No	No	No
20625	15 39 41.89 -05 20 42.8	13.922	13.06	12.575	13.5	L3.5	Adam	IRTF	spex_prism_1539-0520_080714.fits	Feb-04	KP 4m		u20625.fits	No	No	Yes	No	No
11704	17 26 00.0 +15 38 19	15.669	14.47	13.659	13.5	L3.5γ	Adam	IRTF	spex_prism_1726+1538_080713.fits	June-10	Keck I	LRIS	2MASS1726+1538_tell.fits	Yes	No	No	No	No
21005	23 39 25.27 +35 07 16.5	15.362	14.35	13.588	13.5	L3.5	#Sep-03	IRTF	U21005.fits	GN-04B	GN	GMOS	U21005.fits	No	No	No	No	No
13016	00 25 03.6 +47 59 19	14.84	13.67	12.902	14	L4	#Sep-03	IRTF	U13016.fits	GN-04B	GN	GMOS	U13016.fits	No	No	No	Yes	No
20027	00 33 23.86 -15 21 30.9	15.286	14.21	13.41	14	L4pec	#Sep-03	IRTF	U20027.fits	GS-05B	GS	GMOS	U20027.fits	No	No	No	No	Yes
